experiment,phase,seed,eval_protocol,eval_ar_seed_mode,train_supervision_protocol,optimizer_profile,strict_repro_mode,scenario_type,scenario_value,model,horizon,metric,value
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,64,mae_mean,0.049287614529021084
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,64,mae_std,0.000289323041215539
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,64,fde_mean,84401.2474975586
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,64,fde_std,22484.478576660156
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,64,ade_mean,111869.65350341797
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,64,ade_std,1792.5592651367188
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,128,mse_mean,0.007097820802300703
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,128,mse_std,8.136218093568459e-05
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,128,mae_mean,0.04833620769204572
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,128,mae_std,0.000201934773940593
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,128,fde_mean,44836.43263244629
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,128,fde_std,8546.799362182617
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,128,ade_mean,112061.0601196289
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,128,ade_std,1786.2927856445312
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,256,mse_mean,0.007097820802300703
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,256,mse_std,8.136218093568459e-05
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,256,mae_mean,0.04833620769204572
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,256,mae_std,0.000201934773940593
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,256,fde_mean,44836.43263244629
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,FEDformer,256,fde_std,8546.799362182617
